"Latest: Time (s)","Latest: Temperature (Â°C)","Latest: Temperature 2 (Â°C)"
0,25.5909121635,25.9291934798
0.5,25.5864610985,25.9291934798
1,25.5775589684,25.9247424148
1.5,25.5820100335,25.9247424148
2,25.5820100335,25.9291934798
2.5,25.5998142936,25.9291934798
3,25.6087164237,25.9291934798
3.5,25.6176185537,25.9247424148
4,25.6220696188,25.9247424148
4.5,25.6354228139,25.9291934798
5,25.6443249439,25.9247424148
5.5,25.6309717488,25.9158402847
6,25.6398738789,25.9202913498
6.5,25.6398738789,25.9158402847
7,25.648776009,25.9202913498
7.5,25.6354228139,25.9202913498
8,25.6443249439,25.9247424148
8.5,25.6398738789,25.9202913498
9,25.6265206838,25.9113892197
9.5,25.648776009,25.9158402847
10,25.648776009,25.9291934798
10.5,25.653227074,25.9202913498
11,25.648776009,25.9202913498
11.5,25.648776009,25.9202913498
12,25.6354228139,25.9202913498
12.5,25.6398738789,25.9113892197
13,25.6309717488,25.9158402847
13.5,25.6354228139,25.9113892197
14,25.6220696188,25.9158402847
14.5,25.6220696188,25.9113892197
15,25.6176185537,25.9113892197
15.5,25.6131674887,25.9158402847
16,25.6087164237,25.9158402847
16.5,25.6042653586,25.9158402847
17,25.6176185537,25.9202913498
17.5,25.6131674887,25.9113892197
18,25.6176185537,25.9158402847
18.5,25.6131674887,25.9113892197
19,25.6087164237,25.9113892197
